Dose ,Treatment ,Species ,Response_mean_SE
1,Ivermectin_ai,Trifolium aureum POLLICH,64.3 ± 5.6
10,Ivermectin_ai,Trifolium aureum POLLICH,73.1 ± 2.1
0,Ivermectin_ai,Trifolium pratense L.,81.4 ± 1.9
0.1,Ivermectin_ai,Trifolium pratense L.,83.1 ± 1.6
1,Ivermectin_ai,Trifolium pratense L.,85.4 ± 2.6
10,Ivermectin_ai,Trifolium pratense L.,82.3 ± 3.0
0,Ivermectin_ai,Plantago lanceolata L.,21.4 ± 4.1
0.1,Ivermectin_ai,Plantago lanceolata L.,33.1 ± 1.0
1,Ivermectin_ai,Plantago lanceolata L.,29.1 ± 3.9
10,Ivermectin_ai,Plantago lanceolata L.,36.0 ± 4.4
0,Ivermectin_ai,Plantago media L.,7.7 ± 2.2
0.1,Ivermectin_ai,Plantago media L.,15.1 ± 1.9
1,Ivermectin_ai,Plantago media L.,14.3 ± 1.7
10,Ivermectin_ai,Plantago media L.,16.0 ± 4.0
0,Ivermectin_ai,Veronica officinalis L.,4.9 ± 1.7
0.1,Ivermectin_ai,Veronica officinalis L.,8.6 ± 2.8
1,Ivermectin_ai,Veronica officinalis L.,2.3 ± 0.8
10,Ivermectin_ai,Veronica officinalis L.,9.4 ± 3.1
0,Ivermectin_ai,Agrostis capillaris L.,59.7 ± 4.0
0.1,Ivermectin_ai,Agrostis capillaris L.,56.6 ± 4.8
1,Ivermectin_ai,Agrostis capillaris L.,61.7 ± 2.5
10,Ivermectin_ai,Agrostis capillaris L.,62.3 ± 1.9
0,Ivermectin_ai,Cynosurus cristatus L.,75.4 ± 2.8
0.1,Ivermectin_ai,Cynosurus cristatus L.,76.3 ± 3.5
1,Ivermectin_ai,Cynosurus cristatus L.,76.9 ± 2.2
10,Ivermectin_ai,Cynosurus cristatus L.,74.9 ± 4.3
0,Ivermectin_ai,Lolium perenne L.,53.1 ± 5.6
0.1,Ivermectin_ai,Lolium perenne L.,56.9 ± 4.3
1,Ivermectin_ai,Lolium perenne L.,54.0 ± 3.8
10,Ivermectin_ai,Lolium perenne L.,65.7 ± 2.3
0,Ivermectin_ai,Phleum phleoides (L.) H. KARST.,1.7 ± 0.7
0.1,Ivermectin_ai,Phleum phleoides (L.) H. KARST.,3.7 ± 1.4
1,Ivermectin_ai,Phleum phleoides (L.) H. KARST.,1.7 ± 0.5
10,Ivermectin_ai,Phleum phleoides (L.) H. KARST.,2.9 ± 0.9
0,Ivermectin_form,Achillea ptarmica L.,29.1 ± 9.1
0.1,Ivermectin_form,Achillea ptarmica L.,15.4 ± 5.4
1,Ivermectin_form,Achillea ptarmica L.,12.0 ± 3.2
10,Ivermectin_form,Achillea ptarmica L.,11.4 ± 3.1
0,Ivermectin_form,Centaurea jacea L.,25.7 ± 2.5
0.1,Ivermectin_form,Centaurea jacea L.,29.4 ± 4.3
1,Ivermectin_form,Centaurea jacea L.,21.7 ± 1.5
10,Ivermectin_form,Centaurea jacea L.,26.3 ± 2.1
0,Ivermectin_form,Hypochaeris radicata L.,92.0 ± 2.0
0.1,Ivermectin_form,Hypochaeris radicata L.,96.0 ± 1.2
1,Ivermectin_form,Hypochaeris radicata L.,94.0 ± 3.3
10,Ivermectin_form,Hypochaeris radicata L.,86.0 ± 3.0
0,Ivermectin_form,Cerastium holosteoides Fr.,47.1 ± 2.7
0.1,Ivermectin_form,Cerastium holosteoides Fr.,43.7 ± 1.6
1,Ivermectin_form,Cerastium holosteoides Fr.,39.4 ± 4.9
10,Ivermectin_form,Cerastium holosteoides Fr.,25.7 ± 4.5
0,Ivermectin_form,Dianthus deltoides L.,63.4 ± 4.8
0.1,Ivermectin_form,Dianthus deltoides L.,69.1 ± 3.9
1,Ivermectin_form,Dianthus deltoides L.,54.0 ± 7.2
10,Ivermectin_form,Dianthus deltoides L.,60.9 ± 6.4
0,Ivermectin_form,Lychnis flos-cuculi L.,55.7 ± 3.9
0.1,Ivermectin_form,Lychnis flos-cuculi L.,28.0 ± 2.8
1,Ivermectin_form,Lychnis flos-cuculi L.,38.0 ± 4.3
10,Ivermectin_form,Lychnis flos-cuculi L.,30.0 ± 4.0
0,Ivermectin_form,Hippocrepis comosa L.,22.3 ± 2.5
0.1,Ivermectin_form,Hippocrepis comosa L.,22.3 ± 2.0
1,Ivermectin_form,Hippocrepis comosa L.,21.7 ± 3.4
10,Ivermectin_form,Hippocrepis comosa L.,22.0 ± 1.3
0,Ivermectin_form,Medicago lupulina L,25.4 ± 4.7
0.1,Ivermectin_form,Medicago lupulina L,20.3 ± 2.0
1,Ivermectin_form,Medicago lupulina L,17.1 ± 2.1
10,Ivermectin_form,Medicago lupulina L,24.9 ± 3.2
0,Ivermectin_form,Trifolium aureum POLLICH,71.4 ± 3.3
0.1,Ivermectin_form,Trifolium aureum POLLICH,72.6 ± 3.3
1,Ivermectin_form,Trifolium aureum POLLICH,66.6 ± 3.9
10,Ivermectin_form,Trifolium aureum POLLICH,67.4 ± 3.3
0,Ivermectin_form,Trifolium pratense L.,81.4 ± 2.6
0.1,Ivermectin_form,Trifolium pratense L.,84.9 ± 1.6
1,Ivermectin_form,Trifolium pratense L.,84.9 ± 1.9
10,Ivermectin_form,Trifolium pratense L.,83.4 ± 1.9
0,Ivermectin_form,Plantago lanceolata L.,34.0 ± 3.1
0.1,Ivermectin_form,Plantago lanceolata L.,35.7 ± 2.8
1,Ivermectin_form,Plantago lanceolata L.,34.0 ± 2.5
10,Ivermectin_form,Plantago lanceolata L.,28.9 ± 2.5
0,Ivermectin_form,Plantago media L.,22.0 ± 3.2
0.1,Ivermectin_form,Plantago media L.,5.4 ± 1.4
1,Ivermectin_form,Plantago media L.,5.1 ± 1.4
10,Ivermectin_form,Plantago media L.,5.1 ± 1.7
0,Ivermectin_form,Veronica officinalis L.,5.4 ± 0.9
0.1,Ivermectin_form,Veronica officinalis L.,27.1 ± 4.9
1,Ivermectin_form,Veronica officinalis L.,8.0 ± 2.8
10,Ivermectin_form,Veronica officinalis L.,20.3 ± 8.4
0,Ivermectin_form,Agrostis capillaris L.,70.6 ± 4.3
0.1,Ivermectin_form,Agrostis capillaris L.,64.9 ± 5.5
1,Ivermectin_form,Agrostis capillaris L.,58.3 ± 5.9
10,Ivermectin_form,Agrostis capillaris L.,54.6 ± 6.5
0,Ivermectin_form,Cynosurus cristatus L.,78.3 ± 4.1
0.1,Ivermectin_form,Cynosurus cristatus L.,78.6 ± 3.3
1,Ivermectin_form,Cynosurus cristatus L.,81.1 ± 1.6
10,Ivermectin_form,Cynosurus cristatus L.,79.4 ± 2.6
0,Ivermectin_form,Lolium perenne L.,53.7 ± 5.5
0.1,Ivermectin_form,Lolium perenne L.,54.6 ± 7.8
1,Ivermectin_form,Lolium perenne L.,65.4 ± 3.1
10,Ivermectin_form,Lolium perenne L.,60.9 ± 3.5
0,Ivermectin_form,Phleum phleoides (L.) H. KARST.,7.4 ± 0.8
0.1,Ivermectin_form,Phleum phleoides (L.) H. KARST.,4.9 ± 1.1
1,Ivermectin_form,Phleum phleoides (L.) H. KARST.,6.0 ± 1.2
10,Ivermectin_form,Phleum phleoides (L.) H. KARST.,2.9 ± 0.6
